accx,accy,accz,gyrox,gyroy,gyroz
0.1057022,0.7942689,0.6014987,0.02351602,-0.04724685,0.2883573
0.09476016,0.8046239,0.5940026,0.01768421,-0.06100936,0.3097219
0.1065574,0.8042298,0.581004,0.01866357,-0.03089465,0.3355273
0.1177729,0.801051,0.5744196,-0.003266846,0.001593171,0.3404034
0.1148036,0.7968263,0.5738546,-0.02890272,0.0002300942,0.3179097
0.1140739,0.7852295,0.5755691,-0.05131154,-0.005374281,0.2816381
0.1202492,0.7848018,0.5830064,-0.06119383,-0.001136881,0.2551553
0.1131563,0.7946508,0.5939708,-0.04923335,-0.0008617281,0.2486499
0.1083002,0.7957694,0.5984154,-0.04950686,-0.003219579,0.2590547
0.1121891,0.7897267,0.5957986,-0.05466954,-1.930622e-06,0.2585966
0.1089305,0.7838474,0.5966872,-0.05219661,-0.002902829,0.2564061
0.1078838,0.7848691,0.6004531,-0.03588649,-0.0122932,0.2650566
0.1093064,0.7850686,0.6003278,-0.01338715,-0.02012279,0.2604226
0.1087267,0.7753195,0.601352,-0.01762603,-0.02125413,0.2528624
0.10389,0.7713234,0.6034737,-0.01870899,-0.01767319,0.2425358
0.0973212,0.775987,0.6031553,-0.005420962,-0.02258889,0.238004
0.1009434,0.7827601,0.604096,-0.005609839,-0.02363009,0.249952
0.1077285,0.7937944,0.6008157,-0.004482383,-0.01966255,0.2483478
0.114282,0.7963721,0.5930381,-0.004161592,-0.01891957,0.241095
0.1185597,0.7879665,0.5928219,-0.01627826,-0.004328463,0.2342246
0.1126872,0.7787412,0.6040011,-0.0257128,0.006274713,0.2271616
0.1099288,0.76865,0.614516,-0.02010948,-0.006688132,0.223533
0.1162413,0.762067,0.607013,0.003476806,-0.01852154,0.2106037
0.1158433,0.7612325,0.5984051,0.02355573,-0.01318849,0.213519
0.09835105,0.7647161,0.60687,0.01744954,-0.008022666,0.234895
0.08080257,0.7724458,0.6087795,0.007469361,-0.01017882,0.2547814
0.08637474,0.7802401,0.6031063,0.008562254,-0.00304852,0.2623372
0.095821,0.788576,0.6036155,0.0009770885,-0.001316341,0.2578622
0.09369242,0.7928545,0.6024942,-0.009250295,-0.00595287,0.2680846
0.1008713,0.7885948,0.6033955,-0.01169369,0.001336257,0.2633192
0.1078929,0.7868636,0.6069695,-0.01184182,6.810694e-05,0.2448278
0.1037138,0.785627,0.6124436,-0.001430043,-0.008307642,0.2488157
0.1056041,0.7788839,0.6210059,0.01378209,-0.01597844,0.2401068
0.1076053,0.7743808,0.6167544,0.02300465,-0.02557185,0.2296449
0.1097716,0.7655035,0.6031228,0.02450432,-0.0260364,0.2242289
0.1163317,0.757038,0.596942,0.02451479,-0.02205739,0.2063374
0.1142328,0.7639653,0.6007663,0.03545739,-0.0117986,0.206238
0.1119389,0.7732524,0.6066337,0.0321238,-0.00457979,0.2053589
0.1119318,0.7820487,0.601542,0.01248398,-0.006092256,0.1976734
0.1052089,0.7899224,0.5970497,0.00627471,-0.004075333,0.1986036
0.09778005,0.7848517,0.6012561,0.006671244,-0.01266601,0.1920806
0.09316937,0.7823991,0.6010834,0.01087093,-0.01936671,0.1918583
0.09510171,0.7851942,0.6034942,0.009186611,-0.01530603,0.1922426
0.09936781,0.7796646,0.607035,0.004721832,-0.02090385,0.1903982
0.09758586,0.7780133,0.60696,0.01337854,-0.02069167,0.2002158
0.09981608,0.7814498,0.6119207,0.01811168,-0.01149405,0.2016213
0.1050711,0.783118,0.6106248,0.02288824,-0.006728515,0.1982655
0.1020506,0.7854046,0.608059,0.01365632,-0.004025232,0.1975023
0.09909628,0.7831155,0.6140147,-0.008484741,-0.005262161,0.1929446
0.0990673,0.7797781,0.6133466,-0.005077912,-0.007259514,0.186824
0.0993169,0.7779001,0.6080763,-0.003128992,-0.008912465,0.1777978
0.1044368,0.7741423,0.6044383,-0.007195391,-0.009349843,0.1769585
