accx,accy,accz,gyrox,gyroy,gyroz
0.9142877,0.3483151,0.2355408,-0.0565385,0.01316154,0.1344741
0.9164314,0.3481543,0.2399723,-0.05704997,0.01644993,0.1354202
0.9184754,0.3499312,0.2384024,-0.05746588,0.01644231,0.1338421
0.9184786,0.3549566,0.2336693,-0.05975791,0.01559195,0.1334251
0.9216449,0.3547841,0.2377159,-0.06175419,0.0203199,0.1383037
0.92033,0.3549822,0.2422264,-0.06042484,0.02559351,0.1410489
0.9123931,0.3566929,0.2476125,-0.05820232,0.02937783,0.1449271
0.9083631,0.3539706,0.2516228,-0.06519253,0.02529063,0.1497014
0.9099899,0.3510117,0.2429365,-0.07165148,0.01662968,0.1511864
0.9131822,0.3481993,0.2378896,-0.06808802,0.01190061,0.1478771
0.9156343,0.3492025,0.2426521,-0.06542877,0.01208568,0.1421523
0.9179461,0.3531757,0.2440982,-0.06483058,0.01198037,0.1418631
0.9166829,0.3500342,0.2422656,-0.0631515,0.006194491,0.1415453
0.910794,0.3478979,0.2400198,-0.06110294,0.002594272,0.1401631
0.9118666,0.3494254,0.2384739,-0.05785177,0.002285832,0.1426305
0.9132971,0.3481556,0.2384806,-0.05516469,0.001711239,0.1436428
0.9102982,0.3496478,0.2392551,-0.05357722,0.00476034,0.1447409
0.9134987,0.3506262,0.2393478,-0.05175313,0.005667047,0.1449303
0.9139673,0.349682,0.2402309,-0.05127407,0.004352251,0.1438434
0.9129844,0.3512219,0.2419295,-0.05282051,0.004916156,0.1458901
0.915395,0.3515169,0.2381662,-0.05158766,0.003697494,0.1449088
0.9149617,0.3514416,0.2347564,-0.04914711,0.003099071,0.1432859
0.9172282,0.3514028,0.2382627,-0.04902453,0.002619159,0.1435041
0.9170617,0.3511914,0.240671,-0.04898466,0.000160258,0.1396417
0.9137212,0.3520483,0.2399628,-0.05109787,-0.002446656,0.1378334
0.914685,0.3529307,0.2403714,-0.05334754,-0.003697286,0.1394521
0.9163621,0.3544195,0.241039,-0.05289406,3.64544e-05,0.1390125
0.9198321,0.3525519,0.2396564,-0.05278624,0.003095271,0.1377029
0.919874,0.3492734,0.2383532,-0.05270407,-0.0004573382,0.1362923
0.9156576,0.350337,0.2359448,-0.05238934,-0.003264421,0.1358384
0.9152282,0.3520226,0.2310436,-0.05295054,-0.0003354621,0.1353598
0.9158971,0.352917,0.2283973,-0.05481224,0.005519299,0.1339117
0.9170968,0.3522506,0.2255468,-0.05520147,0.01042876,0.1334362
0.9170285,0.3508025,0.2265114,-0.0533018,0.01155104,0.1325244
0.9154043,0.3523987,0.2348107,-0.05277534,0.01124573,0.131666
0.9143687,0.3531829,0.2398675,-0.05049768,0.01289563,0.1325496
0.9108528,0.3516135,0.2415013,-0.04551885,0.01155566,0.1335264
0.9112842,0.3513012,0.2398934,-0.04479544,0.009304536,0.1339671
0.9146849,0.3522773,0.2370682,-0.05087713,0.01198995,0.1340342
0.9137328,0.3531577,0.2367575,-0.05653281,0.01432464,0.1332469
0.9137569,0.3526604,0.2347939,-0.05313156,0.01705995,0.1309034
0.9145304,0.3525136,0.2358143,-0.04782712,0.0179992,0.1289098
0.915352,0.3556122,0.2337288,-0.04990486,0.01550254,0.1311706
0.9174647,0.3586527,0.2308905,-0.05225127,0.01727927,0.1350139
0.916772,0.3571433,0.2402989,-0.05080863,0.01740172,0.1359751
0.9158468,0.3547632,0.2453246,-0.04958693,0.01526597,0.1365379
0.9152414,0.354964,0.2413555,-0.04843812,0.01267904,0.1362916
0.9135942,0.3536786,0.2386289,-0.04671568,0.006575485,0.1341229
0.9153752,0.351799,0.2384107,-0.04614211,0.007727384,0.1333277
0.9175962,0.3513542,0.2411589,-0.04728914,0.01176971,0.129124
0.9156787,0.3499715,0.2397967,-0.04708427,0.01087757,0.1219034
0.9145307,0.3501376,0.2360705,-0.04532924,0.01188337,0.1219487
0.9156443,0.3510701,0.2345418,-0.04472413,0.01204359,0.1239497
0.9153103,0.3512966,0.2357628,-0.04452852,0.01193115,0.1200007
0.9150469,0.3518816,0.2389775,-0.04497091,0.01311153,0.1179582
0.9155125,0.350993,0.2370073,-0.04489025,0.01259832,0.1199169
0.9153277,0.3513812,0.234966,-0.04422936,0.01334385,0.1193537
0.9159932,0.351414,0.235068,-0.04441077,0.01392478,0.1212215
0.9156013,0.3490907,0.2341407,-0.04331842,0.01467016,0.1272728
0.9123114,0.3487935,0.2373462,-0.04213583,0.01523264,0.1270716
0.9104309,0.350287,0.2427259,-0.0402986,0.01062484,0.1202858
