accx,accy,accz,gyrox,gyroy,gyroz
0.976664,-0.1444351,0.3040898,0.02827367,-0.02014911,-0.01681548
0.9765181,-0.1440013,0.3057096,0.023052,-0.01554199,-0.01437913
0.9740209,-0.1405554,0.3047994,0.01796362,-0.01506853,-0.01374529
0.9732902,-0.1328778,0.3031985,0.01297515,-0.01629234,-0.0116158
0.9737578,-0.1292283,0.3004021,0.0009342103,-0.01594995,-0.008243017
0.9745347,-0.1331143,0.3009485,-0.02247682,-0.02039287,-0.008690264
0.9757663,-0.1424547,0.302539,-0.03314056,-0.0262054,-0.008883439
0.9766696,-0.1467937,0.3017528,-0.02380513,-0.02232001,-0.008460761
0.9780897,-0.1481332,0.3040967,-0.01535717,-0.02138049,-0.01466473
0.9759666,-0.1506427,0.3043041,-0.01321235,-0.02915533,-0.01869596
0.9693201,-0.1492355,0.3009225,-0.01122896,-0.03528281,-0.01610565
0.9656794,-0.144249,0.2991006,-0.01035421,-0.03644789,-0.0154283
0.9697094,-0.1389587,0.2989389,-0.01691976,-0.03397029,-0.01845066
0.9739184,-0.1391183,0.3021811,-0.02909898,-0.0332799,-0.02072295
0.9694546,-0.1386871,0.3050512,-0.04411845,-0.03264391,-0.01637183
0.9667951,-0.1358374,0.303029,-0.05031477,-0.03368263,-0.01081211
0.9724505,-0.143615,0.3011732,-0.04813159,-0.04145488,-0.009175328
0.9748898,-0.1557489,0.3016308,-0.05293045,-0.0490828,-0.00733178
0.9734283,-0.1597415,0.2996099,-0.04345196,-0.05127365,-0.005480211
0.9740515,-0.1592058,0.2980798,-0.01903281,-0.04210732,-0.006321883
0.9778483,-0.1606202,0.300105,-0.003006947,-0.02990307,-0.01595552
0.9830899,-0.1583506,0.3017749,0.002990188,-0.0320738,-0.02988847
0.9832494,-0.1482034,0.3040839,-0.007888771,-0.04313737,-0.03084004
0.9776085,-0.1415223,0.3008751,-0.01585559,-0.0524552,-0.01560867
0.9730395,-0.1412155,0.2942919,-0.01188961,-0.04953375,0.00204656
0.9736992,-0.1434103,0.2979652,-0.01458753,-0.03626689,0.008426628
0.9743432,-0.1484598,0.3004001,-0.0139764,-0.02764503,0.007006126
0.971877,-0.1530371,0.2971073,-0.01141579,-0.0189645,0.006051887
0.9720897,-0.1586202,0.2983322,-0.008485326,-0.01309674,0.001255829
0.9740297,-0.1670931,0.2998337,0.004582817,-0.01677634,-0.006249517
0.9788978,-0.1712022,0.2993653,0.02028552,-0.01734901,-0.007782639
0.984621,-0.1655143,0.2978648,0.03258945,-0.01446875,-0.005354265
0.9771331,-0.1596651,0.3000718,0.03725975,-0.0109649,-0.002231664
0.9662782,-0.1595174,0.3049058,0.03727778,-0.01275859,0.00691849
0.9677328,-0.1511346,0.3056276,0.03494513,-0.03268857,0.01546909
0.9708782,-0.1367492,0.3062457,0.03057807,-0.04689237,0.01263138
0.9698437,-0.1348307,0.3044924,0.02886404,-0.03805243,0.008307553
0.9667256,-0.1441857,0.3015011,0.02398287,-0.03794332,0.007573614
0.9637257,-0.1487778,0.2999207,0.01717949,-0.04748179,0.004937549
0.9704063,-0.1405083,0.2988389,0.007609695,-0.04345276,0.006410823
0.9785393,-0.1329447,0.3020528,-0.003124984,-0.04014105,0.01084307
0.9746702,-0.1362723,0.3030411,-0.003393557,-0.04108066,0.01148142
0.9714826,-0.1393468,0.3076736,-0.007084222,-0.03926779,0.01076329
0.9733357,-0.138861,0.3148802,-0.01894361,-0.04108049,0.006726467
0.9724973,-0.1410114,0.3075457,-0.02665517,-0.04177495,0.0003557568
0.9737821,-0.1436815,0.3000321,-0.03279955,-0.04349845,-0.003306104
0.9743686,-0.1447534,0.3007744,-0.03568596,-0.04710818,-0.004308426
0.9726708,-0.1463399,0.2989358,-0.03678164,-0.04778615,-0.00147046
0.9743053,-0.1494032,0.29639,-0.03805791,-0.04924347,0.003098993
0.9747727,-0.1551836,0.2969193,-0.03361859,-0.04827387,0.006056453
0.9756527,-0.1601497,0.2989105,-0.02312157,-0.0451936,0.008831239
0.9773684,-0.1628234,0.2985347,-0.01067079,-0.04228585,0.01125959
0.9755378,-0.1672325,0.2984626,-0.008511003,-0.03927263,0.006962189
0.9741934,-0.1646269,0.3000729,-0.008065397,-0.03586928,-0.0003153608
0.9720237,-0.1577472,0.303508,0.00345439,-0.0324112,0.001174602
0.9714009,-0.1596568,0.3083506,0.006479999,-0.03740015,0.00210982
0.9750444,-0.1595066,0.3038262,0.007171159,-0.04628933,-0.0006918043
0.9758993,-0.1587111,0.2950838,0.01447169,-0.04897228,0.001232366
0.9771899,-0.1646693,0.2943946,0.01154682,-0.04214432,0.002404439
0.9795747,-0.1645517,0.2987895,0.0136273,-0.02984824,0.004450391
0.9779147,-0.1623757,0.3031646,0.02303712,-0.02956507,0.005864338
0.9765209,-0.1620147,0.3009629,0.02213519,-0.03660591,0.006180748
0.976288,-0.1584934,0.2955457,0.02143404,-0.03871108,0.01113644
