accx,accy,accz,gyrox,gyroy,gyroz
0.8879453,-0.01142146,-0.0875952,0.2114111,0.7444926,-0.1197331
0.702013,0.04596008,0.0142072,0.1082201,0.7546587,-0.3237472
0.642353,0.110106,0.07094905,-0.01416767,0.5659617,-0.3910716
0.8032225,0.2083759,0.06011503,-0.07180234,0.1287017,-0.2715166
0.9032544,0.1756318,-0.03449463,-0.1349637,-0.04799603,0.03842536
0.9553419,0.01760214,-0.1329212,-0.08229413,0.1691014,0.3369796
0.900345,-0.1985998,-0.1011809,0.07872266,0.5687587,0.3791621
0.8946333,-0.3160455,-0.02210315,0.3865563,0.6268564,-0.01452153
1.060144,-0.2326087,0.09769405,0.5791612,0.2190627,-0.5057
1.204899,-0.1812856,0.2033628,0.3783875,-0.1357389,-0.8217744
1.374282,-0.1193011,0.1774992,-0.02745081,-0.113715,-0.7858647
1.686972,0.1280858,0.1828636,-0.62811,0.003562445,-0.2268401
2.030948,0.3030219,0.2345909,-0.9254939,-0.2488891,0.3711051
1.814635,0.09737274,0.1005907,-0.3569418,-0.2584398,0.5535715
1.353851,-0.2115923,-0.02850904,0.3871048,0.3867459,0.2231443
1.398838,-0.1753822,0.1294253,0.7267632,0.8183397,-0.1452591
1.169782,-0.05960116,0.2658556,0.7555381,0.3650827,-0.1122571
0.7662259,0.02018496,0.1882835,0.5813904,-0.3996967,-0.02568812
0.8368258,0.2771592,0.1233795,0.4007847,-0.3656672,0.2028161
0.7442216,0.2890306,0.08259656,0.09193243,-0.05536,0.5461341
0.6891632,0.07718522,0.05261267,-0.2100348,0.001649626,0.7135969
0.7771813,-0.01546373,0.09318034,-0.1222099,0.2462283,0.7934216
0.6364593,-0.1647387,0.09949887,0.04139898,0.1903906,0.5579094
0.6441482,-0.1566389,0.08257261,0.1717381,-0.001072248,0.1423035
0.628887,-0.0109142,0.1059014,0.2358237,-0.1292972,-0.2854148
0.5729172,-0.00243528,0.1160041,0.149901,-0.4355894,-0.7356512
0.6511221,0.0712059,0.1384258,0.2366505,-0.4219957,-0.8094905
0.6105294,0.1074582,0.1610495,0.2507762,-0.3944294,-0.56669
0.6749808,0.1204733,0.1350626,0.1272532,-0.466373,-0.2640314
0.7620414,0.2216962,0.1233247,0.1049873,-0.5321764,-0.06258331
0.7395309,0.1779016,0.1109777,0.04339347,-0.8976716,-0.01451875
0.8601067,0.08428656,0.04296736,0.1207116,-1.036824,0.01492733
1.006634,0.02723001,-0.04857377,0.167172,-0.7401869,-0.03545842
1.053454,0.01997527,-0.08332237,-0.02913294,-0.2851515,-0.04465211
0.986488,0.09825001,-0.03213396,-0.1987261,-0.05445823,0.03892339
0.9001353,0.1156342,0.02930719,-0.3264322,-0.2463018,0.1400551
0.8380651,0.1239383,0.08272151,-0.3814903,-0.3999755,0.2416453
0.7735733,0.09592101,0.07733296,-0.4208601,-0.4953183,0.1877458
0.8013334,-0.008231161,-0.009187209,-0.4509219,-0.6002057,0.1603291
0.9338394,-0.1054739,-0.08956758,-0.3640416,-0.5213922,0.2664618
1.40163,-0.3203878,-0.251555,-0.165481,-0.1997328,0.3731873
1.949112,-0.5133478,-0.4268627,0.1862366,0.2882457,0.4449379
1.955021,-0.4701774,-0.4221255,0.3716367,0.5564875,0.2061703
1.790193,-0.3268656,-0.3336259,0.4805271,0.7559931,-0.3581531
1.707373,-0.1114079,-0.1429095,0.6875409,1.066387,-0.8447026
1.390376,0.2091179,0.1618387,0.3023984,0.6816758,-0.936694
1.101848,0.4778204,0.2851938,-0.3958209,-0.6255584,-0.4847947
1.109865,0.5956478,0.1632573,-0.5637719,-1.760102,0.4096738
1.182755,0.5566227,0.01443274,-0.4929464,-1.706251,1.38525
1.214206,0.2834366,-0.1805972,-0.4668365,-0.7290414,1.679856
1.197973,-0.06410688,-0.3751884,-0.3542571,0.1030878,0.9876889
1.071772,-0.1920407,-0.2561955,-0.1729498,0.3822094,0.1936072
0.9106467,-0.235827,-0.04872378,0.05071907,0.2124236,-0.1850433
0.7886346,-0.2754556,-0.0449302,0.2889911,0.02224871,-0.3259091
0.7745302,-0.1232401,-0.02731281,0.4561054,0.2382812,-0.2828775
0.7792254,0.06017891,-0.04148488,0.4812607,0.3102692,-0.2838572
0.7033861,0.1150542,-0.07595278,0.4065635,0.316033,-0.2991584
0.7117343,0.1333916,-0.03973992,0.2715479,0.4986396,-0.2391339
0.7033968,0.1046355,-0.0761729,0.174039,0.4372195,-0.2124454
0.6671059,0.08010654,-0.06660985,0.2298375,0.5949506,-0.05513998
0.7241894,0.08675534,-0.04153976,0.2706842,0.7006195,0.02278266
0.7420644,0.07610721,-0.05531478,0.2310995,0.5455658,-0.0662088
0.8458814,0.09258692,-0.008359039,0.1057808,0.6382554,-0.03148173
0.9257723,0.07525175,-0.02385722,-0.1041281,0.4609483,0.006374481
