accx,accy,accz,gyrox,gyroy,gyroz
0.8758161,-0.02982483,-0.04842942,0.6287738,-0.9430737,0.1936948
1.021815,-0.05791852,-0.06283715,1.133281,-1.243952,0.3217119
1.136849,-0.1285903,-0.2252234,1.332515,-1.265632,0.2988427
1.226104,-0.1847541,-0.4786335,1.131132,-0.9047642,0.2454766
1.316095,-0.1696751,-0.6353258,0.7677999,-0.4691885,0.1406415
1.381697,-0.1772455,-0.6692141,0.3665335,-0.3128801,-0.03291815
1.240858,-0.1790761,-0.5927427,0.3386139,-0.3428379,-0.002168034
1.004018,-0.1858873,-0.5776905,0.4587182,-0.2474797,0.1586113
0.9581659,-0.2273498,-0.601032,0.3217599,-0.06003213,0.2759683
0.9941268,-0.2953511,-0.5618338,0.3711666,-0.04018244,0.3431751
1.027635,-0.3623737,-0.5628855,0.511818,0.04349326,0.2570864
1.096147,-0.3663184,-0.5441792,0.3477692,0.2656293,0.1185945
1.129743,-0.3287858,-0.5066742,0.2992876,0.3786446,0.07413759
1.105594,-0.2931459,-0.492662,0.4052755,0.5944664,0.05570568
1.03961,-0.2723775,-0.4218424,0.5432797,0.8300809,0.1209451
0.9395514,-0.2385955,-0.349467,0.7932626,0.7751581,0.2235958
0.842857,-0.1881339,-0.3167911,0.8175882,0.5872126,0.2185506
0.7903652,-0.183164,-0.3020975,0.7791944,0.4042321,0.2411322
0.7660917,-0.1837077,-0.2849125,0.7891478,0.3361507,0.2933229
0.7580205,-0.1657857,-0.2632617,0.5603842,0.4476071,0.2546224
0.7665232,-0.168849,-0.2267336,0.3672875,0.5076605,0.1850403
0.7597495,-0.1679914,-0.1481232,0.227218,0.4583374,0.1327521
0.7491487,-0.1715259,-0.08056887,0.1072947,0.4603135,0.1177308
0.7306973,-0.1864631,-0.01282758,0.1750359,0.4250415,0.1094144
0.737915,-0.1946566,0.0123348,0.2049905,0.2707786,0.08723789
0.8636669,-0.1973469,-0.01560733,0.3596088,0.1588882,0.08111055
0.9905096,-0.1892144,-0.009907549,0.6152052,0.1335684,0.06710056
0.9640846,-0.1958625,-0.05475508,0.5352548,0.03549223,0.03933402
0.9456632,-0.2316087,-0.07765119,0.4936589,-0.1657268,-0.01315104
1.051117,-0.2813603,-0.05855407,0.6920581,-0.2175279,-0.05781069
1.07703,-0.3143555,-0.1300971,0.7688814,-0.2463945,-0.05723522
1.005787,-0.3364603,-0.2114784,0.8377373,-0.7311728,-0.0727281
1.013218,-0.4162,-0.3462422,0.9288307,-1.154582,-0.08210548
1.098789,-0.4706063,-0.4774956,0.8935411,-0.6103377,-0.09463211
1.169953,-0.40945,-0.4655222,0.8789283,0.3141773,-0.2018308
1.039414,-0.3721045,-0.3951864,0.8575629,0.4941153,-0.3552618
0.7866831,-0.4034503,-0.2636079,0.7967217,0.04535192,-0.5005165
0.7353609,-0.4148301,-0.201153,0.8419129,-0.4625577,-0.6060851
0.8250979,-0.4219911,-0.2803127,0.9752468,-0.7278802,-0.6601158
0.91822,-0.4231479,-0.3672046,1.126095,-0.5825086,-0.770699
0.9924454,-0.38102,-0.4951779,1.161789,-0.3116788,-0.8824131
1.023967,-0.3297334,-0.5407818,1.101722,0.0636883,-0.8672799
